Tahun Pembuatan,Tanggal ,CO,HC,Usia Kendaraan,Euro,Baku Mutu CO,Baku Mutu HC,CO_ratio,HC_ratio,segmen_tahun,alpha,Koreksi_CO,Koreksi_HC,LULUS/TIDAK
2004,21/09/2023,8.31,853,19,NON_EURO,5.5,2200,1.510909091,0.387727273,<2010,0.2,0.102181818,-0.122454545,FALSE
2004,04/09/2023,0.45,1043,19,NON_EURO,5.5,2200,0.081818182,0.474090909,<2010,0.2,-0.183636364,-0.105181818,TRUE
2004,31/08/2023,3.37,542,19,NON_EURO,5.5,2200,0.612727273,0.246363636,<2010,0.2,-0.077454545,-0.150727273,TRUE
2004,19/09/2023,6.88,1003,19,NON_EURO,5.5,2200,1.250909091,0.455909091,<2010,0.2,0.050181818,-0.108818182,FALSE
2004,07/11/2023,4.03,256,19,NON_EURO,5.5,2200,0.732727273,0.116363636,<2010,0.2,-0.053454545,-0.176727273,TRUE
2004,01/09/2023,5.13,206,19,NON_EURO,5.5,2200,0.932727273,0.093636364,<2010,0.2,-0.013454545,-0.181272727,TRUE
2004,29/08/2023,8.81,9693,19,NON_EURO,5.5,2200,1.601818182,4.405909091,<2010,0.2,0.120363636,0.681181818,FALSE
2004,10/09/2023,0,528,19,NON_EURO,5.5,2200,0,0.24,<2010,0.2,-0.2,-0.152,TRUE
2004,09/03/2023,0.07,189,19,NON_EURO,5.5,2200,0.012727273,0.085909091,<2010,0.2,-0.197454545,-0.182818182,TRUE
2004,06/09/2023,3.78,969,19,NON_EURO,5.5,2200,0.687272727,0.440454545,<2010,0.2,-0.062545455,-0.111909091,TRUE
2004,03/10/2023,1.05,894,19,NON_EURO,5.5,2200,0.190909091,0.406363636,<2010,0.2,-0.161818182,-0.118727273,TRUE
2004,30/08/2023,0,319,19,NON_EURO,5.5,2200,0,0.145,<2010,0.2,-0.2,-0.171,TRUE
2004,01/11/2023,2.73,1796,19,NON_EURO,5.5,2200,0.496363636,0.816363636,<2010,0.2,-0.100727273,-0.036727273,TRUE
2004,07/11/2023,2.26,402,19,NON_EURO,5.5,2200,0.410909091,0.182727273,<2010,0.2,-0.117818182,-0.163454545,TRUE
2004,20/02/2025,9.99,4110,21,NON_EURO,5.5,2200,1.816363636,1.868181818,<2010,0.2,0.163272727,0.173636364,FALSE
2004,03/07/2023,0.6,836,19,NON_EURO,5.5,2200,0.109090909,0.38,<2010,0.2,-0.178181818,-0.124,TRUE
2004,08/10/2023,6.26,5012,19,NON_EURO,5.5,2200,1.138181818,2.278181818,<2010,0.2,0.027636364,0.255636364,FALSE
2004,18/11/2023,5.4,584,19,NON_EURO,5.5,2200,0.981818182,0.265454545,<2010,0.2,-0.003636364,-0.146909091,TRUE
2004,22/01/2025,7.58,311,21,NON_EURO,5.5,2200,1.378181818,0.141363636,<2010,0.2,0.075636364,-0.171727273,FALSE
2004,23/01/2025,3.23,144,21,NON_EURO,5.5,2200,0.587272727,0.065454545,<2010,0.2,-0.082545455,-0.186909091,TRUE
2004,09/09/2023,3.56,1683,19,NON_EURO,5.5,2200,0.647272727,0.765,<2010,0.2,-0.070545455,-0.047,TRUE
2004,09/09/2023,8.08,2938,19,NON_EURO,5.5,2200,1.469090909,1.335454545,<2010,0.2,0.093818182,0.067090909,FALSE
2004,29/08/2023,0,600,19,NON_EURO,5.5,2200,0,0.272727273,<2010,0.2,-0.2,-0.145454545,TRUE
2004,12/08/2024,7,1002,20,NON_EURO,5.5,2200,1.272727273,0.455454545,<2010,0.2,0.054545455,-0.108909091,FALSE
2004,05/09/2024,1.9,271,20,NON_EURO,5.5,2200,0.345454545,0.123181818,<2010,0.2,-0.130909091,-0.175363636,TRUE
2004,14/11/2023,9.53,684,19,NON_EURO,5.5,2200,1.732727273,0.310909091,<2010,0.2,0.146545455,-0.137818182,FALSE
2004,31/08/2023,0.74,261,19,NON_EURO,5.5,2200,0.134545455,0.118636364,<2010,0.2,-0.173090909,-0.176272727,TRUE
2004,16/10/2023,0.35,299,19,NON_EURO,5.5,2200,0.063636364,0.135909091,<2010,0.2,-0.187272727,-0.172818182,TRUE
2004,25/09/2023,6.73,2820,19,NON_EURO,5.5,2200,1.223636364,1.281818182,<2010,0.2,0.044727273,0.056363636,FALSE
2004,08/09/2023,0.68,941,19,NON_EURO,5.5,2200,0.123636364,0.427727273,<2010,0.2,-0.175272727,-0.114454545,TRUE
2004,22/05/2024,6.2,244,20,NON_EURO,5.5,2200,1.127272727,0.110909091,<2010,0.2,0.025454545,-0.177818182,FALSE
2004,05/09/2023,2.56,572,19,NON_EURO,5.5,2200,0.465454545,0.26,<2010,0.2,-0.106909091,-0.148,TRUE
2004,16/02/2023,8.84,4708,19,NON_EURO,5.5,2200,1.607272727,2.14,<2010,0.2,0.121454545,0.228,FALSE
2004,14/10/2023,2.84,344,19,NON_EURO,5.5,2200,0.516363636,0.156363636,<2010,0.2,-0.096727273,-0.168727273,TRUE
2004,17/09/2023,3.82,684,19,NON_EURO,5.5,2200,0.694545455,0.310909091,<2010,0.2,-0.061090909,-0.137818182,TRUE
2004,29/08/2023,2.13,139,19,NON_EURO,5.5,2200,0.387272727,0.063181818,<2010,0.2,-0.122545455,-0.187363636,TRUE
2004,07/09/2023,3.3,253,19,NON_EURO,5.5,2200,0.6,0.115,<2010,0.2,-0.08,-0.177,TRUE
2004,28/08/2023,1.65,1970,19,NON_EURO,5.5,2200,0.3,0.895454545,<2010,0.2,-0.14,-0.020909091,TRUE
2004,20/10/2023,1.25,387,19,NON_EURO,5.5,2200,0.227272727,0.175909091,<2010,0.2,-0.154545455,-0.164818182,TRUE
2004,31/08/2023,6.36,256,19,NON_EURO,5.5,2200,1.156363636,0.116363636,<2010,0.2,0.031272727,-0.176727273,FALSE
