Tanggal,Kategori,Klasifikasi,Kelas,Bahan Bakar,Tahun Pembuatan,Sistem Pembakaran,CC,Tonnase,Jarak Tempuh,Opasitas,Tahun Uji,Usia Kendaraan,Baku Mutu Opasitas,Opasitas_ratio,segmen_tahun,Euro,alpha,Koreksi_Opasitas,LULUS/TIIDAK
11/09/2013,M,C,D1,Solar,2002,Diesel,2477,1,43939,66.7,2013,11,65,1.026153846,<2010,NON_EURO,0.3,0.007846154,FALSE
11/09/2013,M,C,D1,Solar,2002,Diesel,2500,1,279890,26.4,2013,11,65,0.406153846,<2010,NON_EURO,0.3,-0.178153846,TRUE
07/10/2015,M,C,D1,Solar,2002,Diesel,2500,3.5,112365,69.7,2015,13,65,1.072307692,<2010,NON_EURO,0.3,0.021692308,FALSE
05/09/2023 00:00,,C,,,2002,,,,,33.8,,21,50,0.676,<2010,NON_EURO,0.3,-0.0972,TRUE
02/05/2017,M,C,D1,Solar,2002,Diesel,2500,3,63294,67.2,2017,15,65,1.033846154,<2010,NON_EURO,0.3,0.010153846,FALSE
27/06/2019,M,C,D1,Solar,2002,Diesel,2500,2.5,21177,24.7,2019,17,65,0.38,<2010,NON_EURO,0.3,-0.186,TRUE
29/09/2023 00:00,,C,,,2002,,,,,29.8,,21,50,0.596,<2010,NON_EURO,0.3,-0.1212,TRUE
12/09/2013,M,C,D1,Solar,2002,Diesel,2500,1,194857,17.3,2013,11,65,0.266153846,<2010,NON_EURO,0.3,-0.220153846,TRUE
15/06/2022,M,C,D3,Solar,2002,Diesel,2771,30,43795,71.4,2022,20,65,1.098461538,<2010,NON_EURO,0.3,0.029538461,FALSE
08/12/2023 00:00,,C,,,2002,,,,,60,,21,65,0.923076923,<2010,NON_EURO,0.3,-0.023076923,TRUE
17/05/2016,M,C,D1,Solar,2002,Diesel,3500,3,17102,72.2,2016,14,65,1.110769231,<2010,NON_EURO,0.3,0.033230769,FALSE
29/03/2022,M,C,D3,Solar,2003,Diesel,4164,25,30754,62.6,2022,19,65,0.963076923,<2010,NON_EURO,0.3,-0.011076923,TRUE
11/09/2013,M,C,D1,Solar,2003,Diesel,3298,1,229136,42,2013,10,65,0.646153846,<2010,NON_EURO,0.3,-0.106153846,TRUE
09/09/2023 00:00,,C,,,2003,,,,,11.3,,20,50,0.226,<2010,NON_EURO,0.3,-0.2322,TRUE
17/05/2017,M,C,D3,Solar,2003,Diesel,2500,22,26942,72.3,2017,14,65,1.112307692,<2010,NON_EURO,0.3,0.033692308,FALSE
11/09/2013,M,C,D1,Solar,2003,Diesel,3000,1,535117,19.7,2013,10,65,0.303076923,<2010,NON_EURO,0.3,-0.209076923,TRUE
02/09/2023 00:00,,C,,,2003,,,,,38.7,,20,50,0.774,<2010,NON_EURO,0.3,-0.0678,TRUE
19/09/2013,M,C,D1,Solar,2003,Diesel,2700,1,106119,53.6,2013,10,65,0.824615385,<2010,NON_EURO,0.3,-0.052615385,TRUE
11/09/2013,M,C,D1,Solar,2003,Diesel,2700,1,132329,32,2013,10,65,0.492307692,<2010,NON_EURO,0.3,-0.152307692,TRUE
26/04/2016,M,C,D1,Solar,2003,Diesel,3300,3,291162,67.7,2016,13,65,1.041538462,<2010,NON_EURO,0.3,0.012461539,FALSE
22/04/2024 00:00,,C,,,2003,,,,,13.5,,21,65,0.207692308,<2010,NON_EURO,0.3,-0.237692308,TRUE
21/05/2014,M,C,D3,Solar,2003,Diesel,2500,1000,74213,58.8,2014,11,65,0.904615385,<2010,NON_EURO,0.3,-0.028615384,TRUE
10/05/2016,M,C,D1,Solar,2003,Diesel,2800,3.5,20059.5373,17.5,2016,13,65,0.269230769,<2010,NON_EURO,0.3,-0.219230769,TRUE
16/10/2024 00:00,,C,,,2003,,,,,23.3,,21,65,0.358461538,<2010,NON_EURO,0.3,-0.192461538,TRUE
18/10/2023 00:00,,C,,,2003,,,,,39.6,,20,65,0.609230769,<2010,NON_EURO,0.3,-0.117230769,TRUE
06/10/2015,M,C,D1,Solar,2003,Diesel,2500,3,315708,59.1,2015,12,65,0.909230769,<2010,NON_EURO,0.3,-0.027230769,TRUE
16/01/2024 00:00,,C,,,2003,,,,,25,,21,65,0.384615385,<2010,NON_EURO,0.3,-0.184615385,TRUE
02/05/2017,M,C,D1,Solar,2003,Diesel,2000,3,378611,39.2,2017,14,65,0.603076923,<2010,NON_EURO,0.3,-0.119076923,TRUE
18/05/2016,M,C,D1,Solar,2003,Diesel,2800,3.5,530102,66.2,2016,13,65,1.018461538,<2010,NON_EURO,0.3,0.005538461,FALSE
24/05/2024 00:00,,C,,,2003,,,,,25,,21,65,0.384615385,<2010,NON_EURO,0.3,-0.184615385,TRUE
23/09/2023 00:00,,C,,,2003,,,,,39.2,,20,50,0.784,<2010,NON_EURO,0.3,-0.0648,TRUE
