Tahun Pembuatan,Tanggal ,CO,HC,Usia Kendaraan,Euro,Baku Mutu CO,Baku Mutu HC,CO_ratio,HC_ratio,segmen_tahun,alpha,Koreksi_CO,Koreksi_HC,LULUS/TIDAK,,,,,,,
2006,01/09/2023,5.83,668,17,NON_EURO,5.5,2200,1.06,0.303636364,<2010,0.2,0.012,-0.139272727,FALSE,,,,,,,
2006,02/09/2023,9.2,662,17,NON_EURO,5.5,2200,1.672727273,0.300909091,<2010,0.2,0.134545455,-0.139818182,FALSE,,,,,,,
2005,10/09/2023,6.83,633,18,NON_EURO,5.5,2200,1.241818182,0.287727273,<2010,0.2,0.048363636,-0.142454545,FALSE,,,,,,,
2006,25/11/2024,9.12,612,18,NON_EURO,5.5,2200,1.658181818,0.278181818,<2010,0.2,0.131636364,-0.144363636,FALSE,,,,,,,
2005,14/03/2024,6.06,606,19,NON_EURO,5.5,2200,1.101818182,0.275454545,<2010,0.2,0.020363636,-0.144909091,FALSE,,,,,,,
2006,27/02/2025,9.99,601,19,NON_EURO,5.5,2200,1.816363636,0.273181818,<2010,0.2,0.163272727,-0.145363636,FALSE,,,,,,,
2005,04/09/2023,6.62,601,18,NON_EURO,5.5,2200,1.203636364,0.273181818,<2010,0.2,0.040727273,-0.145363636,FALSE,,,,,,,
2004,29/08/2023,6.68,571,19,NON_EURO,5.5,2200,1.214545455,0.259545455,<2010,0.2,0.042909091,-0.148090909,FALSE,,,,,,,
2005,10/09/2024,7.2,565,19,NON_EURO,5.5,2200,1.309090909,0.256818182,<2010,0.2,0.061818182,-0.148636364,FALSE,,,,,,,
2003,06/08/2024,6.36,565,21,NON_EURO,5.5,2200,1.156363636,0.256818182,<2010,0.2,0.031272727,-0.148636364,FALSE,,,,,,,
2005,22/02/2024,7.65,563,19,NON_EURO,5.5,2200,1.390909091,0.255909091,<2010,0.2,0.078181818,-0.148818182,FALSE,,,,,,,
2006,08/03/2024,9.6,562,18,NON_EURO,5.5,2200,1.745454545,0.255454545,<2010,0.2,0.149090909,-0.148909091,FALSE,,,,,,,
2005,07/09/2023,5.81,555,18,NON_EURO,5.5,2200,1.056363636,0.252272727,<2010,0.2,0.011272727,-0.149545455,FALSE,,,,,,,
2005,08/09/2023,9,528,18,NON_EURO,5.5,2200,1.636363636,0.24,<2010,0.2,0.127272727,-0.152,FALSE,,,,,,,
2005,31/08/2023,6.21,528,18,NON_EURO,5.5,2200,1.129090909,0.24,<2010,0.2,0.025818182,-0.152,FALSE,,,,,,,
2002,09/11/2023,8.45,519,21,NON_EURO,5.5,2200,1.536363636,0.235909091,<2010,0.2,0.107272727,-0.152818182,FALSE,,,,,,,
2004,25/10/2023,6.44,475,19,NON_EURO,5.5,2200,1.170909091,0.215909091,<2010,0.2,0.034181818,-0.156818182,FALSE,,,,,,,
2006,08/09/2023,6.16,470,17,NON_EURO,5.5,2200,1.12,0.213636364,<2010,0.2,0.024,-0.157272727,FALSE,,,,,,,
2006,19/09/2023,8.18,467,17,NON_EURO,5.5,2200,1.487272727,0.212272727,<2010,0.2,0.097454545,-0.157545455,FALSE,,,,,,,
2005,24/08/2023,6.43,456,18,NON_EURO,5.5,2200,1.169090909,0.207272727,<2010,0.2,0.033818182,-0.158545455,FALSE,,,,,,,
2005,23/05/2023,9.8,453,18,NON_EURO,5.5,2200,1.781818182,0.205909091,<2010,0.2,0.156363636,-0.158818182,FALSE,,,,,,,
2006,08/09/2023,7.2,438,17,NON_EURO,5.5,2200,1.309090909,0.199090909,<2010,0.2,0.061818182,-0.160181818,FALSE,,,,,,,
2006,27/08/2024,9.5,434,18,NON_EURO,5.5,2200,1.727272727,0.197272727,<2010,0.2,0.145454545,-0.160545455,FALSE,,,,,,,
2006,31/08/2023,6.8,431,17,NON_EURO,5.5,2200,1.236363636,0.195909091,<2010,0.2,0.047272727,-0.160818182,FALSE,,,,,,,
2005,06/09/2023,6.21,431,18,NON_EURO,5.5,2200,1.129090909,0.195909091,<2010,0.2,0.025818182,-0.160818182,FALSE,,,,,,,
2006,18/11/2023,7.79,415,17,NON_EURO,5.5,2200,1.416363636,0.188636364,<2010,0.2,0.083272727,-0.162272727,FALSE,,,,,,,
2006,05/09/2023,5.69,368,17,NON_EURO,5.5,2200,1.034545455,0.167272727,<2010,0.2,0.006909091,-0.166545455,FALSE,,,,,,,
2006,09/10/2023,6.67,339,17,NON_EURO,5.5,2200,1.212727273,0.154090909,<2010,0.2,0.042545455,-0.169181818,FALSE,,,,,,,
2006,15/10/2024,7.28,328,18,NON_EURO,5.5,2200,1.323636364,0.149090909,<2010,0.2,0.064727273,-0.170181818,FALSE,,,,,,,
2005,02/05/2024,6.99,325,19,NON_EURO,5.5,2200,1.270909091,0.147727273,<2010,0.2,0.054181818,-0.170454545,FALSE,,,,,,,
2006,15/05/2024,5.55,323,18,NON_EURO,5.5,2200,1.009090909,0.146818182,<2010,0.2,0.001818182,-0.170636364,FALSE,,,,,,,
